PCI,Latitude,Longitude,Time
5,19.10605637,72.84434279,2024:10:04 11:32:08
5,19.10606869,72.84425401,2024:10:04 11:32:08
5,19.10607954,72.84417587,2024:10:04 11:32:08
5,19.10609083,72.84409413,2024:10:04 11:32:09
5,19.10610175,72.84401252,2024:10:04 11:32:09
5,19.10611308,72.84392831,2024:10:04 11:32:09
5,19.10612507,72.84384043,2024:10:04 11:32:10
5,19.10613206,72.84376144,2024:10:04 11:32:11
5,19.10613794,72.84368118,2024:10:04 11:32:12
5,19.10614028,72.84360825,2024:10:04 11:32:13
5,19.10614136,72.84353183,2024:10:04 11:32:14
5,19.10614241,72.84345712,2024:10:04 11:32:15
5,19.10614345,72.84338318,2024:10:04 11:32:16
5,19.10614472,72.84329271,2024:10:04 11:32:17
5,19.10614577,72.84321821,2024:10:04 11:32:18
5,19.10614661,72.84315818,2024:10:04 11:32:19
5,19.10614735,72.84310537,2024:10:04 11:32:20
5,19.10617011,72.84303962,2024:10:04 11:32:21
5,19.10615144,72.84296501,2024:10:04 11:32:22
5,19.10614006,72.84288744,2024:10:04 11:32:23
5,19.1061371,72.84280962,2024:10:04 11:32:24
5,19.10612918,72.84272507,2024:10:04 11:32:25
7,19.10612036,72.84263095,2024:10:04 11:32:26
7,19.10612495,72.84257125,2024:10:04 11:32:27
5,19.10610529,72.84247011,2024:10:04 11:32:28
5,19.10609822,72.84239471,2024:10:04 11:32:29
5,19.1060834,72.84223648,2024:10:04 11:32:30
5,19.10607694,72.84216754,2024:10:04 11:32:31
5,19.10606701,72.84206156,2024:10:04 11:32:32
5,19.10605875,72.8419734,2024:10:04 11:32:33
5,19.10605104,72.84187504,2024:10:04 11:32:34
5,19.1096566,72.837565,0.552789923
5,19.1096566,72.837565,3.216147725
7,19.10979167,72.83768,4.216147725
5,19.10979167,72.83764333,5.216147725
5,19.109825,72.83760833,6.216147725
5,19.10983333,72.83760167,7.216147725
5,19.10987,72.83760167,9.057147725
5,19.109865,72.837585,10.05714772
5,19.10986167,72.83758167,11.05714772
5,19.109855,72.83758,12.05714772
